No.,DOB,Age, Fund Value , Salary , Contributions ,EE, ER , Years ,Retirement age
27,6/30/1973,53.00," 10,262,592.31 "," 249,590.00 "," 49,918.00 ",10%,10%,7.00,60
28,12/22/1967,59.00," 10,790,693.35 "," 334,550.00 "," 66,910.00 ",10%,10%,1.00,60
29,10/4/1968,58.00," 18,325,615.65 "," 442,890.00 "," 88,578.00 ",10%,10%,2.00,60
30,1/1/1980,46.00," 5,575,289.43 "," 676,540.00 "," 135,308.00 ",10%,10%,14.00,60
31,7/22/1987,39.00," 9,530,470.31 "," 893,560.00 "," 178,712.00 ",10%,10%,21.00,60
32,4/11/1972,54.00," 3,702,603.10 "," 676,540.00 "," 135,308.00 ",10%,10%,6.00,60
33,4/7/1986,40.00," 4,926,842.28 "," 893,560.00 "," 178,712.00 ",10%,10%,20.00,60
34,1/1/1980,46.00," 2,749,105.18 "," 442,890.00 "," 88,578.00 ",10%,10%,14.00,60
35,1/1/1980,46.00," 2,991,846.15 "," 465,010.00 "," 93,002.00 ",10%,10%,14.00,60
36,1/1/1980,46.00," 7,075,165.76 "," 1,063,140.00 "," 212,628.00 ",10%,10%,14.00,60
37,1/1/1980,46.00," 2,745,184.83 "," 421,820.00 "," 84,364.00 ",10%,10%,14.00,60
38,6/19/1993,33.00," 1,967,262.17 "," 303,400.00 "," 60,680.00 ",10%,10%,27.00,60
39,8/20/1996,30.00," 1,951,204.86 "," 303,400.00 "," 60,680.00 ",10%,10%,30.00,60
40,7/30/1972,54.00," 9,551,685.11 "," 1,603,560.00 "," 320,712.00 ",10%,10%,6.00,60
41,12/12/1989,37.00," 3,830,441.31 "," 676,540.00 "," 135,308.00 ",10%,10%,23.00,60
42,5/12/1981,45.00," 2,588,346.57 "," 442,890.00 "," 88,578.00 ",10%,10%,15.00,60
43,2/6/1993,33.00," 2,006,325.17 "," 401,820.00 "," 80,364.00 ",10%,10%,27.00,60
44,12/7/1983,43.00," 3,608,731.57 "," 676,540.00 "," 135,308.00 ",10%,10%,17.00,60
45,5/25/1983,43.00," 1,619,078.45 "," 303,400.00 "," 60,680.00 ",10%,10%,17.00,60
46,8/11/1989,37.00," 2,407,267.25 "," 465,010.00 "," 93,002.00 ",10%,10%,23.00,60
47,4/20/1980,46.00," 7,726,344.17 "," 594,940.00 "," 118,988.00 ",10%,10%,14.00,60
48,2/26/1993,33.00," 3,236,061.63 "," 676,540.00 "," 135,308.00 ",10%,10%,27.00,60
49,4/26/1997,29.00," 1,806,307.32 "," 415,090.00 "," 83,018.00 ",10%,10%,31.00,60
50,9/6/1978,48.00," 5,537,267.39 "," 1,256,430.00 "," 251,286.00 ",10%,10%,12.00,60
51,10/5/1986,40.00," 4,236,353.16 "," 1,085,260.00 "," 217,052.00 ",10%,10%,20.00,60
52,11/29/1983,43.00," 2,332,345.76 "," 594,940.00 "," 118,988.00 ",10%,10%,17.00,60
53,4/14/1996,30.00," 1,851,138.22 "," 480,590.00 "," 96,118.00 ",10%,10%,30.00,60
54,4/30/1985,41.00," 2,384,769.63 "," 676,540.00 "," 135,308.00 ",10%,10%,19.00,60
55,1/1/1980,46.00," 4,660,967.33 "," 1,385,120.00 "," 277,024.00 ",10%,10%,14.00,60
56,7/17/1973,53.00," 1,347,795.55 "," 442,890.00 "," 88,578.00 ",10%,10%,7.00,60
57,5/20/2000,26.00," 571,680.00 "," 288,880.00 "," 57,776.00 ",10%,10%,34.00,60
58,8/8/1983,43.00," 749,622.00 "," 435,980.00 "," 87,196.00 ",10%,10%,17.00,60
59,8/26/1974,52.00," 1,946,272.00 "," 1,196,600.00 "," 239,320.00 ",10%,10%,8.00,60
60,4/1/1989,37.00," 675,098.00 "," 594,940.00 "," 118,988.00 ",10%,10%,23.00,60
61,8/5/1986,40.00," 369,038.00 "," 465,010.00 "," 93,002.00 ",10%,10%,20.00,60
62,7/1/1990,36.00," 629,628.00 "," 793,370.00 "," 158,674.00 ",10%,10%,24.00,60
63,1/2/1984,42.00," 570,056.17 "," 771,770.00 "," 154,354.00 ",10%,10%,18.00,60
64,9/16/1977,49.00," 2,576,068.87 "," 151,278.00 "," 36,306.72 ",8%,16%,11.00,60
65,1/1/1971,55.00," 3,392,863.63 "," 150,477.00 "," 36,114.48 ",8%,16%,5.00,60
66,8/12/1972,54.00," 2,266,461.16 "," 131,154.00 "," 31,476.96 ",8%,16%,6.00,60
67,7/22/1968,58.00," 5,519,453.89 "," 245,616.00 "," 58,947.84 ",8%,16%,2.00,60
68,12/7/1972,54.00," 4,992,238.66 "," 236,909.00 "," 56,858.16 ",8%,16%,6.00,60
69,3/19/1968,58.00," 5,227,473.54 "," 245,616.00 "," 58,947.84 ",8%,16%,2.00,60
70,1/30/1971,55.00," 4,995,224.06 "," 236,909.00 "," 56,858.16 ",8%,16%,5.00,60
71,8/23/1981,45.00," 2,395,451.53 "," 118,272.00 "," 28,385.28 ",8%,16%,15.00,60
72,11/29/1983,43.00," 3,627,855.75 "," 214,486.00 "," 51,476.64 ",8%,16%,17.00,60
73,6/19/1973,53.00," 6,206,309.23 "," 297,040.00 "," 71,289.60 ",8%,16%,7.00,60
74,6/19/1967,59.00," 13,412,755.57 "," 338,317.00 "," 81,196.08 ",8%,16%,1.00,60
75,10/10/1980,46.00," 3,718,315.69 "," 214,486.00 "," 51,476.64 ",8%,16%,14.00,60
76,1/13/1978,48.00," 3,802,199.81 "," 214,486.00 "," 51,476.64 ",8%,16%,12.00,60
77,12/13/1972,54.00," 8,906,329.08 "," 318,449.00 "," 76,427.76 ",8%,16%,6.00,60
78,6/28/1974,52.00," 9,686,650.96 "," 307,359.00 "," 73,766.16 ",8%,16%,8.00,60
79,1/7/1975,51.00," 7,662,960.78 "," 307,359.00 "," 73,766.16 ",8%,16%,9.00,60
80,11/28/1981,45.00," 4,517,972.02 "," 210,786.00 "," 50,588.64 ",8%,16%,15.00,60
81,4/2/1974,52.00," 4,517,972.02 "," 210,786.00 "," 50,588.64 ",8%,16%,8.00,60
82,7/14/1977,49.00," 4,517,972.02 "," 210,786.00 "," 50,588.64 ",8%,16%,11.00,60
83,7/1/1974,52.00," 18,245,712.37 "," 528,318.00 "," 126,796.32 ",8%,16%,8.00,60
84,12/23/1969,57.00," 14,109,718.03 "," 528,318.00 "," 126,796.32 ",8%,16%,3.00,60
85,10/23/1976,50.00," 2,454,535.27 "," 144,036.00 "," 34,568.64 ",8%,16%,10.00,60
86,12/12/1984,42.00," 1,920,423.07 "," 113,408.00 "," 27,217.92 ",8%,16%,18.00,60
87,7/1/1968,58.00," 11,654,739.98 "," 338,317.00 "," 81,196.08 ",8%,16%,2.00,60
88,6/27/1979,47.00," 4,869,910.62 "," 214,486.00 "," 51,476.64 ",8%,16%,13.00,60
89,11/30/1978,48.00," 3,431,739.31 "," 214,486.00 "," 51,476.64 ",8%,16%,12.00,60
90,9/17/1973,53.00," 3,352,678.77 "," 193,372.00 "," 46,409.28 ",8%,16%,7.00,60
91,2/15/1967,59.00," 2,951,755.73 "," 141,127.00 "," 33,870.48 ",8%,16%,1.00,60
92,1/5/1980,46.00," 6,211,051.74 "," 255,763.00 "," 61,383.12 ",8%,16%,14.00,60
93,10/11/1979,47.00," 3,484,214.48 "," 214,486.00 "," 51,476.64 ",8%,16%,13.00,60
94,4/30/1967,59.00," 6,702,917.75 "," 297,040.00 "," 71,289.60 ",8%,16%,1.00,60
95,4/16/1971,55.00," 9,835,463.19 "," 338,317.00 "," 81,196.08 ",8%,16%,5.00,60
96,3/9/1978,48.00," 8,929,604.30 "," 331,979.00 "," 79,674.96 ",8%,16%,12.00,60
97,9/22/1976,50.00," 8,638,511.05 "," 338,317.00 "," 81,196.08 ",8%,16%,10.00,60
98,3/26/1979,47.00," 4,993,757.01 "," 255,763.00 "," 61,383.12 ",8%,16%,13.00,60
99,3/28/1970,56.00," 7,827,210.27 "," 307,359.00 "," 73,766.16 ",8%,16%,4.00,60
100,5/14/1967,59.00," 9,909,067.10 "," 338,317.00 "," 81,196.08 ",8%,16%,1.00,60
101,10/5/1971,55.00," 8,433,527.85 "," 338,317.00 "," 81,196.08 ",8%,16%,5.00,60
102,12/24/1983,43.00," 6,081,586.19 "," 307,359.00 "," 73,766.16 ",8%,16%,17.00,60
103,10/5/1976,50.00," 8,217,569.93 "," 338,595.00 "," 81,262.80 ",8%,16%,10.00,60
104,5/15/1985,41.00," 2,446,323.99 "," 144,036.00 "," 34,568.64 ",8%,16%,19.00,60
105,12/12/1972,54.00," 7,019,250.96 "," 307,359.00 "," 73,766.16 ",8%,16%,6.00,60
106,11/17/1975,51.00," 3,394,518.65 "," 214,486.00 "," 51,476.64 ",8%,16%,9.00,60
107,2/24/1968,58.00," 10,821,622.01 "," 413,160.00 "," 99,158.40 ",8%,16%,2.00,60
108,1/6/1981,45.00," 6,974,052.49 "," 317,679.00 "," 76,242.96 ",8%,16%,15.00,60
109,9/6/1976,50.00," 4,954,096.57 "," 243,776.00 "," 58,506.24 ",8%,16%,10.00,60
110,7/27/1970,56.00," 6,740,619.50 "," 297,040.00 "," 71,289.60 ",8%,16%,4.00,60
111,6/12/1985,41.00," 2,407,019.23 "," 141,127.00 "," 33,870.48 ",8%,16%,19.00,60
112,11/21/1977,49.00," 4,011,295.32 "," 202,079.00 "," 48,498.96 ",8%,16%,11.00,60
113,10/22/1985,41.00," 3,607,306.92 "," 214,486.00 "," 51,476.64 ",8%,16%,19.00,60
114,4/20/1973,53.00," 10,005,051.10 "," 338,317.00 "," 81,196.08 ",8%,16%,7.00,60
115,8/18/1984,42.00," 3,708,852.38 "," 193,372.00 "," 46,409.28 ",8%,16%,18.00,60
116,6/7/1978,48.00," 5,055,355.62 "," 245,444.00 "," 58,906.56 ",8%,16%,12.00,60
117,7/16/1978,48.00," 6,546,850.11 "," 307,359.00 "," 73,766.16 ",8%,16%,12.00,60
118,6/19/1977,49.00," 7,309,785.77 "," 291,388.00 "," 69,933.12 ",8%,16%,11.00,60
119,8/10/1976,50.00," 11,420,832.67 "," 413,160.00 "," 99,158.40 ",8%,16%,10.00,60
120,8/16/1969,57.00," 8,617,137.69 "," 359,039.00 "," 86,169.36 ",8%,16%,3.00,60
121,11/16/1975,51.00," 6,917,931.49 "," 307,359.00 "," 73,766.16 ",8%,16%,9.00,60
122,10/23/1983,43.00," 5,099,084.40 "," 250,797.00 "," 60,191.28 ",8%,16%,17.00,60
123,3/23/1985,41.00," 3,771,497.68 "," 214,486.00 "," 51,476.64 ",8%,16%,19.00,60
124,5/18/1967,59.00," 5,605,460.01 "," 266,083.00 "," 63,859.92 ",8%,16%,1.00,60
125,5/9/1972,54.00," 4,024,998.29 "," 255,763.00 "," 61,383.12 ",8%,16%,6.00,60
126,7/24/1984,42.00," 4,934,957.29 "," 338,595.00 "," 81,262.80 ",8%,16%,18.00,60
127,5/16/1985,41.00," 4,218,433.17 "," 255,763.00 "," 61,383.12 ",8%,16%,19.00,60
128,7/10/1984,42.00," 3,594,075.06 "," 214,486.00 "," 51,476.64 ",8%,16%,18.00,60
129,9/30/1982,44.00," 5,854,427.10 "," 307,359.00 "," 73,766.16 ",8%,16%,16.00,60
130,7/5/1978,48.00," 2,592,835.67 "," 214,486.00 "," 51,476.64 ",8%,16%,12.00,60
131,5/20/1980,46.00," 3,208,370.94 "," 214,486.00 "," 51,476.64 ",8%,16%,14.00,60
132,4/16/1985,41.00," 2,857,060.06 "," 214,486.00 "," 51,476.64 ",8%,16%,19.00,60
133,11/28/1970,56.00," 2,934,407.67 "," 214,486.00 "," 51,476.64 ",8%,16%,4.00,60
134,10/12/1986,40.00," 3,881,195.35 "," 255,763.00 "," 61,383.12 ",8%,16%,20.00,60
135,3/1/1977,49.00," 5,672,393.02 "," 304,918.00 "," 73,180.32 ",8%,16%,11.00,60
136,7/10/1988,38.00," 3,185,798.51 "," 214,486.00 "," 51,476.64 ",8%,16%,22.00,60
137,3/5/1979,47.00," 3,195,798.51 "," 214,486.00 "," 51,476.64 ",8%,16%,13.00,60
138,5/26/1979,47.00," 1,511,933.40 "," 118,272.00 "," 28,385.28 ",8%,16%,13.00,60
139,3/14/1981,45.00," 3,402,819.71 "," 214,486.00 "," 51,476.64 ",8%,16%,15.00,60
140,12/7/1977,49.00," 3,402,819.71 "," 214,486.00 "," 51,476.64 ",8%,16%,11.00,60
141,5/25/1978,48.00," 3,420,408.58 "," 224,806.00 "," 53,953.44 ",8%,16%,12.00,60
142,9/19/1981,45.00," 3,117,903.08 "," 214,486.00 "," 51,476.64 ",8%,16%,15.00,60
143,11/28/1988,38.00," 1,511,873.97 "," 118,272.00 "," 28,385.28 ",8%,16%,22.00,60
144,5/1/1981,45.00," 4,946,241.96 "," 286,721.00 "," 68,813.04 ",8%,16%,15.00,60
145,4/24/1978,48.00," 1,525,277.31 "," 123,712.00 "," 29,690.88 ",8%,16%,12.00,60
146,6/4/1985,41.00," 3,117,903.08 "," 214,486.00 "," 51,476.64 ",8%,16%,19.00,60
147,6/18/1983,43.00," 3,117,903.08 "," 214,486.00 "," 51,476.64 ",8%,16%,17.00,60
148,9/25/1978,48.00," 1,511,077.90 "," 118,272.00 "," 28,385.28 ",8%,16%,12.00,60
149,1/5/1974,52.00," 4,345,461.57 "," 255,763.00 "," 61,383.12 ",8%,16%,8.00,60
150,11/26/1978,48.00," 5,700,660.82 "," 255,763.00 "," 61,383.12 ",8%,16%,12.00,60
151,2/16/1983,43.00," 4,900,529.35 "," 286,721.00 "," 68,813.04 ",8%,16%,17.00,60
152,8/28/1986,40.00," 3,263,794.64 "," 214,486.00 "," 51,476.64 ",8%,16%,20.00,60
153,9/19/1972,54.00," 1,467,726.71 "," 118,272.00 "," 28,385.28 ",8%,16%,6.00,60
154,5/26/1982,44.00," 5,199,308.51 "," 307,359.00 "," 73,766.16 ",8%,16%,16.00,60
155,8/18/1970,56.00," 11,851,720.42 "," 528,318.00 "," 126,796.32 ",8%,16%,4.00,60
156,12/2/1983,43.00," 3,318,397.98 "," 223,737.00 "," 53,696.88 ",8%,16%,17.00,60
157,4/11/1975,51.00," 2,792,059.72 "," 214,486.00 "," 51,476.64 ",8%,16%,9.00,60
158,3/25/1985,41.00," 1,699,036.97 "," 141,127.00 "," 33,870.48 ",8%,16%,19.00,60
159,6/18/1987,39.00," 2,734,342.23 "," 214,486.00 "," 51,476.64 ",8%,16%,21.00,60
160,12/21/1988,38.00," 1,797,946.45 "," 141,127.00 "," 33,870.48 ",8%,16%,22.00,60
161,4/19/1983,43.00," 2,469,283.31 "," 214,486.00 "," 51,476.64 ",8%,16%,17.00,60
162,2/18/1982,44.00," 1,797,946.45 "," 141,127.00 "," 33,870.48 ",8%,16%,16.00,60
163,8/16/1973,53.00," 1,797,946.45 "," 141,127.00 "," 33,870.48 ",8%,16%,7.00,60
164,9/22/1985,41.00," 1,797,946.45 "," 141,127.00 "," 33,870.48 ",8%,16%,19.00,60
165,2/6/1978,48.00," 1,797,946.45 "," 141,127.00 "," 33,870.48 ",8%,16%,12.00,60
166,11/23/1980,46.00," 1,797,946.45 "," 141,127.00 "," 33,870.48 ",8%,16%,14.00,60
167,8/19/1988,38.00," 1,797,946.45 "," 141,127.00 "," 33,870.48 ",8%,16%,22.00,60
168,3/6/1989,37.00," 2,370,373.75 "," 214,486.00 "," 51,476.64 ",8%,16%,23.00,60
169,7/22/1977,49.00," 1,699,036.97 "," 141,127.00 "," 33,870.48 ",8%,16%,11.00,60
170,5/16/1975,51.00," 1,699,036.97 "," 141,127.00 "," 33,870.48 ",8%,16%,9.00,60
171,10/10/1983,43.00," 1,699,036.97 "," 141,127.00 "," 33,870.48 ",8%,16%,17.00,60
172,1/12/1985,41.00," 1,699,036.97 "," 141,127.00 "," 33,870.48 ",8%,16%,19.00,60
173,9/24/1985,41.00," 1,699,036.97 "," 141,127.00 "," 33,870.48 ",8%,16%,19.00,60
174,8/27/1989,37.00," 2,370,373.75 "," 214,486.00 "," 51,476.64 ",8%,16%,23.00,60
175,1/1/1986,40.00," 1,282,392.84 "," 111,831.00 "," 26,839.44 ",8%,16%,20.00,60
176,3/5/1982,44.00," 1,282,392.84 "," 111,831.00 "," 26,839.44 ",8%,16%,16.00,60
177,5/16/1985,41.00," 1,282,392.84 "," 111,831.00 "," 26,839.44 ",8%,16%,19.00,60
178,8/14/1976,50.00," 1,983,351.68 "," 141,127.00 "," 33,870.48 ",8%,16%,10.00,60
179,8/15/1986,40.00," 2,797,537.31 "," 214,486.00 "," 51,476.64 ",8%,16%,20.00,60
180,1/3/1989,37.00," 2,796,257.79 "," 214,486.00 "," 51,476.64 ",8%,16%,23.00,60
181,6/23/1988,38.00," 1,699,036.97 "," 141,127.00 "," 33,870.48 ",8%,16%,22.00,60
182,10/29/1979,47.00," 2,722,342.23 "," 214,486.00 "," 51,476.64 ",8%,16%,13.00,60
183,10/20/1989,37.00," 2,680,630.23 "," 214,486.00 "," 51,476.64 ",8%,16%,23.00,60
184,3/27/1980,46.00," 1,797,946.45 "," 141,127.00 "," 33,870.48 ",8%,16%,14.00,60
185,3/18/1985,41.00," 2,722,342.23 "," 214,486.00 "," 51,476.64 ",8%,16%,19.00,60
186,8/27/1989,37.00," 1,581,152.92 "," 141,127.00 "," 33,870.48 ",8%,16%,23.00,60
187,7/8/1986,40.00," 2,541,590.67 "," 214,486.00 "," 51,476.64 ",8%,16%,20.00,60
188,10/12/1982,44.00," 1,581,152.92 "," 141,127.00 "," 33,870.48 ",8%,16%,16.00,60
189,6/30/1983,43.00," 2,541,590.67 "," 214,486.00 "," 51,476.64 ",8%,16%,17.00,60
190,4/16/1983,43.00," 2,541,590.67 "," 214,486.00 "," 51,476.64 ",8%,16%,17.00,60
191,4/3/1995,31.00," 1,296,718.89 "," 141,000.00 "," 33,840.00 ",8%,16%,29.00,60
192,1/26/1990,36.00," 2,538,825.80 "," 214,486.00 "," 51,476.64 ",8%,16%,24.00,60
193,6/15/1987,39.00," 2,541,590.67 "," 214,486.00 "," 51,476.64 ",8%,16%,21.00,60
194,11/29/1977,49.00," 3,194,634.25 "," 255,763.00 "," 61,383.12 ",8%,16%,11.00,60
195,7/28/1991,35.00," 1,578,315.46 "," 141,127.00 "," 33,870.48 ",8%,16%,25.00,60
196,3/28/1980,46.00," 2,541,590.67 "," 214,486.00 "," 51,476.64 ",8%,16%,14.00,60
197,4/8/1990,36.00," 2,541,590.67 "," 214,486.00 "," 51,476.64 ",8%,16%,24.00,60
198,7/5/1978,48.00," 2,789,066.38 "," 214,486.00 "," 51,476.64 ",8%,16%,12.00,60
199,3/23/1975,51.00," 8,917,075.61 "," 528,318.00 "," 126,796.32 ",8%,16%,9.00,60
200,7/17/1976,50.00," 3,162,905.65 "," 277,858.00 "," 66,685.92 ",8%,16%,10.00,60
201,1/10/1977,49.00," 4,122,807.79 "," 307,359.00 "," 73,766.16 ",8%,16%,11.00,60
202,9/22/1984,42.00," 1,121,267.79 "," 111,831.00 "," 26,839.44 ",8%,16%,18.00,60
203,10/28/1985,41.00," 1,379,131.13 "," 132,420.00 "," 31,780.80 ",8%,16%,19.00,60
204,1/24/1991,35.00," 1,304,098.89 "," 141,000.00 "," 33,840.00 ",8%,16%,25.00,60
205,12/31/1986,40.00," 2,051,495.17 "," 214,486.00 "," 51,476.64 ",8%,16%,20.00,60
206,11/25/1986,40.00," 2,051,495.17 "," 214,486.00 "," 51,476.64 ",8%,16%,20.00,60
207,2/21/1988,38.00," 1,292,600.49 "," 132,420.00 "," 31,780.80 ",8%,16%,22.00,60
208,12/22/1982,44.00," 1,292,600.49 "," 132,420.00 "," 31,780.80 ",8%,16%,16.00,60
209,8/12/1984,42.00," 1,292,600.49 "," 132,420.00 "," 31,780.80 ",8%,16%,18.00,60
210,7/28/1986,40.00," 1,292,600.49 "," 132,420.00 "," 31,780.80 ",8%,16%,20.00,60
211,8/14/1979,47.00," 1,292,600.49 "," 132,420.00 "," 31,780.80 ",8%,16%,13.00,60
212,4/24/1983,43.00," 2,051,495.17 "," 214,486.00 "," 51,476.64 ",8%,16%,17.00,60
213,1/1/1992,34.00," 1,294,659.69 "," 141,000.00 "," 33,840.00 ",8%,16%,26.00,60
214,1/10/1991,35.00," 1,292,600.49 "," 132,420.00 "," 31,780.80 ",8%,16%,25.00,60
215,1/4/1990,36.00," 1,304,098.89 "," 141,000.00 "," 33,840.00 ",8%,16%,24.00,60
216,5/31/1979,47.00," 1,810,614.91 "," 132,420.00 "," 31,780.80 ",8%,16%,13.00,60
217,3/31/1994,32.00," 1,292,600.49 "," 132,420.00 "," 31,780.80 ",8%,16%,28.00,60
218,12/18/1975,51.00," 1,292,600.49 "," 132,420.00 "," 31,780.80 ",8%,16%,9.00,60
219,8/1/1981,45.00," 1,292,600.49 "," 132,420.00 "," 31,780.80 ",8%,16%,15.00,60
220,7/19/1988,38.00," 1,292,600.49 "," 132,420.00 "," 31,780.80 ",8%,16%,22.00,60
221,4/28/1988,38.00," 2,005,017.55 "," 214,486.00 "," 51,476.64 ",8%,16%,22.00,60
222,2/20/1989,37.00," 2,051,495.17 "," 214,486.00 "," 51,476.64 ",8%,16%,23.00,60
223,4/21/1991,35.00," 2,051,495.17 "," 214,486.00 "," 51,476.64 ",8%,16%,25.00,60
224,1/16/1991,35.00," 2,051,495.17 "," 214,486.00 "," 51,476.64 ",8%,16%,25.00,60
225,1/1/1980,46.00," 2,051,495.17 "," 214,486.00 "," 51,476.64 ",8%,16%,14.00,60
226,11/24/1986,40.00," 2,051,495.17 "," 214,486.00 "," 51,476.64 ",8%,16%,20.00,60
227,10/27/1984,42.00," 1,292,600.49 "," 132,420.00 "," 31,780.80 ",8%,16%,18.00,60
228,1/1/1987,39.00," 1,304,098.89 "," 141,000.00 "," 33,840.00 ",8%,16%,21.00,60
229,8/8/1991,35.00," 2,051,495.17 "," 214,486.00 "," 51,476.64 ",8%,16%,25.00,60
230,4/22/1992,34.00," 2,051,495.17 "," 214,486.00 "," 51,476.64 ",8%,16%,26.00,60
231,1/1/1988,38.00," 819,960.97 "," 132,420.00 "," 31,780.80 ",8%,16%,22.00,60
232,3/18/1983,43.00," 529,069.21 "," 67,526.00 "," 16,206.24 ",8%,16%,17.00,60
233,12/12/1987,39.00," 529,069.21 "," 67,526.00 "," 16,206.24 ",8%,16%,21.00,60
234,8/3/1989,37.00," 555,376.28 "," 67,526.00 "," 16,206.24 ",8%,16%,23.00,60
235,7/22/1984,42.00," 529,069.21 "," 67,526.00 "," 16,206.24 ",8%,16%,18.00,60
236,3/27/1981,45.00," 525,412.28 "," 67,526.00 "," 16,206.24 ",8%,16%,15.00,60
237,1/1/1990,36.00," 529,069.21 "," 67,526.00 "," 16,206.24 ",8%,16%,24.00,60
238,7/29/1988,38.00," 556,816.72 "," 86,067.00 "," 20,656.08 ",8%,16%,22.00,60
239,1/2/1993,33.00," 485,967.80 "," 86,067.00 "," 20,656.08 ",8%,16%,27.00,60
240,1/12/1989,37.00," 322,973.73 "," 86,067.00 "," 20,656.08 ",8%,16%,23.00,60
241,7/7/1976,50.00," 556,816.72 "," 86,067.00 "," 20,656.08 ",8%,16%,10.00,60
242,1/28/1976,50.00," 556,816.72 "," 86,067.00 "," 20,656.08 ",8%,16%,10.00,60
243,12/25/1984,42.00," 556,816.72 "," 86,067.00 "," 20,656.08 ",8%,16%,18.00,60
244,2/17/1981,45.00," 5,974,022.95 "," 362,311.00 "," 86,954.64 ",8%,16%,15.00,60
245,4/28/1982,44.00," 556,816.72 "," 86,067.00 "," 20,656.08 ",8%,16%,16.00,60
246,1/17/1987,39.00," 1,292,600.49 "," 132,420.00 "," 31,780.80 ",8%,16%,21.00,60
247,12/12/1988,38.00," 2,099,684.29 "," 314,880.00 "," 75,571.20 ",8%,16%,22.00,60
248,2/6/1992,34.00," 2,051,495.17 "," 214,486.00 "," 51,476.64 ",8%,16%,26.00,60
249,2/10/1992,34.00," 2,051,495.17 "," 214,486.00 "," 51,476.64 ",8%,16%,26.00,60
250,7/3/1986,40.00," 1,292,600.49 "," 132,420.00 "," 31,780.80 ",8%,16%,20.00,60
251,9/1/1988,38.00," 1,302,298.89 "," 141,000.00 "," 33,840.00 ",8%,16%,22.00,60
252,9/15/1986,40.00," 1,292,600.49 "," 132,420.00 "," 31,780.80 ",8%,16%,20.00,60
253,12/1/1993,33.00," 611,733.05 "," 86,067.00 "," 20,656.08 ",8%,16%,27.00,60
254,10/7/1987,39.00," 1,083,475.79 "," 132,420.00 "," 31,780.80 ",8%,16%,21.00,60
255,3/9/1982,44.00," 939,901.52 "," 132,420.00 "," 31,780.80 ",8%,16%,16.00,60
256,3/10/1990,36.00," 611,733.05 "," 86,067.00 "," 20,656.08 ",8%,16%,24.00,60
257,12/20/1979,47.00," 611,733.05 "," 86,067.00 "," 20,656.08 ",8%,16%,13.00,60
258,2/6/1987,39.00," 611,733.05 "," 86,067.00 "," 20,656.08 ",8%,16%,21.00,60
